Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Total de dinheiro repassado aos beneficiários
Uberlândia,3100104,Abadia dos Dourados,78,66,0.8461538461538461,31,0,0,16200
Divinópolis,3100203,Abaeté,98,91,0.9285714285714286,151,89,0.5894039735099338,31400
Timóteo,3100302,Abre Campo,461,344,0.7462039045553145,129,52,0.40310077519379844,101700
Timóteo,3100401,Acaiaca,167,163,0.9760479041916168,21,19,0.9047619047619048,46900
Governador Valadares,3100500,Açucena,396,334,0.8434343434343434,82,22,0.2682926829268293,92000
Teófilo Otoni,3100609,Água Boa,1546,1318,0.8525226390685641,92,36,0.391304347826087,375250
Uberaba,3100708,Água Comprida,61,58,0.9508196721311475,0,0,0,15400
Divinópolis,3100807,Aguanil,53,44,0.8301886792452831,20,6,0.3,12200
Teófilo Otoni,3100906,Águas Formosas,1488,1449,0.9737903225806451,193,87,0.45077720207253885,412400
Salinas,3101003,Águas Vermelhas,1347,1340,0.9948032665181886,101,47,0.46534653465346537,394750
Governador Valadares,3101102,Aimorés,509,487,0.9567779960707269,258,80,0.31007751937984496,139500
Varginha,3101201,Aiuruoca,67,45,0.6716417910447762,14,0,0,10850
Varginha,3101300,Alagoa,16,14,0.875,7,0,0,4000
Poços de Caldas,3101409,Albertina,4,3,0.75,1,0,0,700
Juiz de Fora,3101508,Além Paraíba,520,463,0.8903846153846153,225,36,0.16,122200
Varginha,3101607,Alfenas,925,866,0.9362162162162162,436,111,0.2545871559633027,234650
São João Del Rei,3101631,Alfredo Vasconcelos,100,80,0.8,103,8,0.07766990291262135,19800
Almenara,3101706,Almenara,1440,1198,0.8319444444444445,177,51,0.288135593220339,327100
Governador Valadares,3101805,Alpercata,148,134,0.9054054054054054,32,12,0.375,34300
Passos,3101904,Alpinópolis,120,111,0.925,184,76,0.41304347826086957,35900
Passos,3102001,Alterosa,212,179,0.8443396226415094,95,17,0.17894736842105263,46200
Muriaé,3102050,Alto Caparaó,91,78,0.8571428571428571,55,7,0.12727272727272726,20500
São João Del Rei,3102100,Alto Rio Doce,772,681,0.8821243523316062,49,7,0.14285714285714285,191000
Governador Valadares,3102209,Alvarenga,206,204,0.9902912621359223,47,13,0.2765957446808511,54350
Timóteo,3102308,Alvinópolis,588,582,0.9897959183673469,145,82,0.5655172413793104,168000
Diamantina,3102407,Alvorada de Minas,457,358,0.7833698030634574,45,12,0.26666666666666666,104200
Muriaé,3102506,Amparo da Serra,157,136,0.8662420382165605,7,0,0,34850
Poços de Caldas,3102605,Andradas,103,77,0.7475728155339806,178,32,0.1797752808988764,22700
Salinas,3102704,Cachoeira de Pajeú,679,675,0.9941089837997055,60,37,0.6166666666666667,198100
Juiz de Fora,3102803,Andrelândia,174,148,0.8505747126436781,43,3,0.06976744186046512,35800
Diamantina,3102852,Angelândia,607,525,0.8649093904448105,145,68,0.4689655172413793,158200
São João Del Rei,3102902,Antônio Carlos,196,176,0.8979591836734694,142,26,0.18309859154929578,46600
Timóteo,3103009,Antônio Dias,372,353,0.9489247311827957,86,25,0.29069767441860467,100100
Muriaé,3103108,Antônio Prado de Minas,43,36,0.8372093023255814,21,4,0.19047619047619047,10100
Curvelo,3103207,Araçaí,28,22,0.7857142857142857,7,0,0,5900
Juiz de Fora,3103306,Aracitaba,24,24,1,12,9,0.75,7800
Araçuaí,3103405,Araçuaí,1859,1768,0.951048951048951,362,156,0.430939226519337,513050
Uberlândia,3103504,Araguari,1522,1469,0.9651773981603153,760,175,0.23026315789473684,405000
Juiz de Fora,3103603,Arantina,43,37,0.8604651162790697,1,0,0,9400
Muriaé,3103702,Araponga,167,110,0.6586826347305389,122,20,0.16393442622950818,31800
Uberlândia,3103751,Araporã,16,15,0.9375,6,1,0.16666666666666666,3600
Patos de Minas,3103801,Arapuá,22,22,1,5,0,0,5100
Divinópolis,3103900,Araújos,34,30,0.8823529411764706,30,2,0.06666666666666667,8400
Uberaba,3104007,Araxá,1319,1270,0.9628506444275967,308,120,0.38961038961038963,339400
Poços de Caldas,3104106,Arceburgo,66,65,0.9848484848484849,36,5,0.1388888888888889,18700
Divinópolis,3104205,Arcos,276,242,0.8768115942028986,133,18,0.13533834586466165,64100
Varginha,3104304,Areado,100,93,0.93,114,25,0.21929824561403508,27800
Juiz de Fora,3104403,Argirita,22,22,1,6,3,0.5,6300
Diamantina,3104452,Aricanduva,435,373,0.8574712643678161,44,13,0.29545454545454547,111500
Paracatu,3104502,Arinos,1008,858,0.8511904761904762,105,48,0.45714285714285713,247200
Juiz de Fora,3104601,Astolfo Dutra,133,118,0.8872180451127819,68,4,0.058823529411764705,32500
Teófilo Otoni,3104700,Ataléia,890,799,0.8977528089887641,101,25,0.24752475247524752,234350
Curvelo,3104809,Augusto de Lima,95,86,0.9052631578947369,23,7,0.30434782608695654,23800
Varginha,3104908,Baependi,389,268,0.6889460154241646,100,24,0.24,71200
Metropolitana,3105004,Baldim,221,216,0.9773755656108597,67,14,0.208955223880597,56100
Divinópolis,3105103,Bambuí,216,195,0.9027777777777778,117,25,0.21367521367521367,51700
Almenara,3105202,Bandeira,161,127,0.7888198757763976,57,23,0.40350877192982454,39100
Poços de Caldas,3105301,Bandeira do Sul,24,24,1,17,0,0,6700
Metropolitana,3105400,Barão de Cocais,323,299,0.9256965944272446,189,38,0.20105820105820105,81800
Muriaé,3105509,Barão de Monte Alto,179,177,0.9888268156424581,35,15,0.42857142857142855,50400
São João Del Rei,3105608,Barbacena,1177,1106,0.9396771452846219,635,115,0.18110236220472442,299200
Timóteo,3105707,Barra Longa,339,311,0.9174041297935103,35,12,0.34285714285714286,91500
São João Del Rei,3105905,Barroso,711,697,0.980309423347398,86,19,0.22093023255813954,178900
Timóteo,3106002,Bela Vista de Minas,201,187,0.9303482587064676,53,13,0.24528301886792453,49200
Juiz de Fora,3106101,Belmiro Braga,66,62,0.9393939393939394,30,8,0.26666666666666666,17150
Metropolitana,3106200,Belo Horizonte,15941,15281,0.9585973276456935,6561,1960,0.29873494894071023,4344250
Timóteo,3106309,Belo Oriente,548,531,0.968978102189781,64,20,0.3125,140250
Metropolitana,3106408,Belo Vale,77,65,0.8441558441558441,84,7,0.08333333333333333,16300
Araçuaí,3106507,Berilo,648,630,0.9722222222222222,124,59,0.47580645161290325,187100
Teófilo Otoni,3106606,Bertópolis,497,487,0.9798792756539235,13,9,0.6923076923076923,120900
Salinas,3106655,Berizal,446,432,0.968609865470852,24,14,0.5833333333333334,122900
Metropolitana,3106705,Betim,6141,5948,0.9685718938283667,1082,290,0.2680221811460259,1617550
Juiz de Fora,3106804,Bias Fortes,174,164,0.9425287356321839,12,5,0.4166666666666667,42700
Juiz de Fora,3106903,Bicas,156,146,0.9358974358974359,33,10,0.30303030303030304,37900
Divinópolis,3107000,Biquinhas,23,17,0.7391304347826086,7,0,0,4500
Varginha,3107109,Boa Esperança,286,271,0.9475524475524476,518,245,0.47297297297297297,94000
Juiz de Fora,3107208,Bocaina de Minas,30,30,1,4,0,0,7700
Montes Claros,3107307,Bocaiúva,3634,3501,0.9634012107870116,261,136,0.5210727969348659,1010350
Divinópolis,3107406,Bom Despacho,530,481,0.9075471698113208,338,72,0.21301775147928995,134100
Juiz de Fora,3107505,Bom Jardim de Minas,99,93,0.9393939393939394,34,5,0.14705882352941177,25200
Passos,3107604,Bom Jesus da Penha,102,101,0.9901960784313726,2,0,0,27750
Metropolitana,3107703,Bom Jesus do Amparo,150,114,0.76,54,29,0.5370370370370371,31400
Timóteo,3107802,Bom Jesus do Galho,1044,943,0.9032567049808429,30,14,0.4666666666666667,273950
Poços de Caldas,3107901,Bom Repouso,108,94,0.8703703703703703,173,6,0.03468208092485549,28700
São João Del Rei,3108008,Bom Sucesso,47,39,0.8297872340425532,270,14,0.05185185185185185,11500
Metropolitana,3108107,Bonfim,229,228,0.9956331877729258,17,0,0,57900
Paracatu,3108206,Bonfinópolis de Minas,56,42,0.75,49,8,0.16326530612244897,12000
Montes Claros,3108255,Bonito de Minas,791,663,0.8381795195954488,90,12,0.13333333333333333,195300
Poços de Caldas,3108305,Borda da Mata,106,96,0.9056603773584906,83,31,0.37349397590361444,28700
Poços de Caldas,3108404,Botelhos,127,110,0.8661417322834646,166,15,0.09036144578313253,29500
Montes Claros,3108503,Botumirim,578,578,1,56,23,0.4107142857142857,163700
Paracatu,3108552,Brasilândia de Minas,610,555,0.9098360655737705,78,22,0.28205128205128205,150450
Montes Claros,3108602,Brasília de Minas,2103,1906,0.9063242986210176,343,134,0.39067055393586003,564350
São João Del Rei,3108701,Brás Pires,218,216,0.9908256880733946,11,5,0.45454545454545453,54600
Timóteo,3108800,Braúnas,196,186,0.9489795918367347,30,7,0.23333333333333334,51000
Poços de Caldas,3108909,Brazópolis,80,59,0.7375,122,11,0.09016393442622951,15300
Metropolitana,3109006,Brumadinho,70,56,0.8,15,0,0,13400
Poços de Caldas,3109105,Bueno Brandão,69,65,0.9420289855072463,56,14,0.25,20200
Curvelo,3109204,Buenópolis,322,304,0.9440993788819876,95,33,0.3473684210526316,88400
Timóteo,3109253,Bugre,164,141,0.8597560975609756,46,5,0.10869565217391304,38700
Paracatu,3109303,Buritis,316,287,0.9082278481012658,116,18,0.15517241379310345,80600
Montes Claros,3109402,Buritizeiro,1616,1514,0.9368811881188119,116,56,0.4827586206896552,428000
Paracatu,3109451,Cabeceira Grande,105,91,0.8666666666666667,17,1,0.058823529411764705,20900
Poços de Caldas,3109501,Cabo Verde,157,119,0.7579617834394905,120,52,0.43333333333333335,34900
Metropolitana,3109600,Cachoeira da Prata,11,11,1,8,2,0.25,2600
Poços de Caldas,3109709,Cachoeira de Minas,46,40,0.8695652173913043,78,42,0.5384615384615384,15150
Ituiutaba,3109808,Cachoeira Dourada,4,4,1,1,0,0,1000
Curvelo,3109907,Caetanópolis,177,167,0.943502824858757,68,29,0.4264705882352941,46800
Metropolitana,3110004,Caeté,560,509,0.9089285714285714,319,75,0.23510971786833856,140550
Muriaé,3110103,Caiana,101,61,0.6039603960396039,81,6,0.07407407407407407,16900
Muriaé,3110202,Cajuri,38,31,0.8157894736842105,2,1,0.5,8400
Poços de Caldas,3110301,Caldas,133,119,0.8947368421052632,63,2,0.031746031746031744,30200
Divinópolis,3110400,Camacho,22,15,0.6818181818181818,31,0,0,3600
Poços de Caldas,3110509,Camanducaia,188,110,0.5851063829787234,77,11,0.14285714285714285,29200
Poços de Caldas,3110608,Cambuí,300,245,0.8166666666666667,114,15,0.13157894736842105,64200
Varginha,3110707,Cambuquira,370,352,0.9513513513513514,96,24,0.25,94500
Teófilo Otoni,3110806,Campanário,163,157,0.9631901840490797,18,5,0.2777777777777778,40900
Varginha,3110905,Campanha,263,240,0.9125475285171103,227,61,0.2687224669603524,72100
Poços de Caldas,3111002,Campestre,59,37,0.6271186440677966,86,2,0.023255813953488372,9400
Ituiutaba,3111101,Campina Verde,188,139,0.7393617021276596,104,12,0.11538461538461539,36650
Montes Claros,3111150,Campo Azul,276,253,0.9166666666666666,25,18,0.72,74100
Divinópolis,3111200,Campo Belo,675,637,0.9437037037037037,336,58,0.17261904761904762,168400
Varginha,3111309,Campo do Meio,307,277,0.9022801302931596,56,5,0.08928571428571429,64300
Uberaba,3111408,Campo Florido,251,223,0.8884462151394422,25,8,0.32,61550
Patos de Minas,3111507,Campos Altos,142,131,0.9225352112676056,67,15,0.22388059701492538,32600
Varginha,3111606,Campos Gerais,436,372,0.8532110091743119,350,81,0.23142857142857143,99800
Muriaé,3111705,Canaã,213,213,1,11,0,0,56200
Ituiutaba,3111804,Canápolis,122,113,0.9262295081967213,50,4,0.08,28900
Divinópolis,3111903,Cana Verde,94,86,0.9148936170212766,63,9,0.14285714285714285,24600
Divinópolis,3112000,Candeias,130,116,0.8923076923076924,128,42,0.328125,35900
Governador Valadares,3112059,Cantagalo,174,173,0.9942528735632183,37,8,0.21621621621621623,46500
Muriaé,3112109,Caparaó,282,259,0.9184397163120568,29,2,0.06896551724137931,58750
São João Del Rei,3112208,Capela Nova,159,139,0.8742138364779874,31,6,0.1935483870967742,39400
Diamantina,3112307,Capelinha,1463,1361,0.9302802460697197,624,395,0.6330128205128205,432550
Passos,3112406,Capetinga,116,113,0.9741379310344828,63,12,0.19047619047619047,31600
Metropolitana,3112505,Capim Branco,102,100,0.9803921568627451,59,19,0.3220338983050847,28500
Ituiutaba,3112604,Capinópolis,261,255,0.9770114942528736,127,87,0.6850393700787402,82800
Governador Valadares,3112653,Capitão Andrade,218,195,0.8944954128440367,19,6,0.3157894736842105,48100
Montes Claros,3112703,Capitão Enéas,1006,953,0.9473161033797217,142,75,0.528169014084507,275200
Passos,3112802,Capitólio,22,22,1,54,3,0.05555555555555555,5500
Muriaé,3112901,Caputira,337,230,0.6824925816023739,82,6,0.07317073170731707,60400
Teófilo Otoni,3113008,Caraí,1562,1439,0.9212548015364916,182,46,0.25274725274725274,415000
São João Del Rei,3113107,Caranaíba,107,107,1,15,4,0.26666666666666666,27600
São João Del Rei,3113206,Carandaí,269,245,0.9107806691449815,122,53,0.4344262295081967,67850
Muriaé,3113305,Carangola,1162,1072,0.9225473321858864,232,48,0.20689655172413793,276650
Timóteo,3113404,Caratinga,1017,921,0.9056047197640118,1254,230,0.18341307814992025,257950
Diamantina,3113503,Carbonita,307,302,0.9837133550488599,65,42,0.6461538461538462,89100
Varginha,3113602,Careaçu,58,44,0.7586206896551724,104,33,0.3173076923076923,14100
Teófilo Otoni,3113701,Carlos Chagas,496,412,0.8306451612903226,62,33,0.532258064516129,115300
Timóteo,3113800,Carmésia,44,37,0.8409090909090909,12,3,0.25,11700
Varginha,3113909,Carmo da Cachoeira,154,142,0.922077922077922,365,40,0.1095890410958904,39200
Divinópolis,3114006,Carmo da Mata,145,130,0.896551724137931,65,11,0.16923076923076924,32100
Varginha,3114105,Carmo de Minas,399,384,0.9624060150375939,144,41,0.2847222222222222,100800
Divinópolis,3114204,Carmo do Cajuru,68,59,0.8676470588235294,81,9,0.1111111111111111,16900
Patos de Minas,3114303,Carmo do Paranaíba,316,289,0.9145569620253164,187,32,0.1711229946524064,78900
Passos,3114402,Carmo do Rio Claro,259,239,0.9227799227799228,203,76,0.37438423645320196,68700
Divinópolis,3114501,Carmópolis de Minas,87,63,0.7241379310344828,143,5,0.03496503496503497,17800
Ituiutaba,3114550,Carneirinho,70,59,0.8428571428571429,64,3,0.046875,15900
São João Del Rei,3114600,Carrancas,30,26,0.8666666666666667,48,2,0.041666666666666664,7200
Varginha,3114709,Carvalhópolis,5,4,0.8,11,6,0.5454545454545454,1700
Juiz de Fora,3114808,Carvalhos,143,133,0.9300699300699301,13,0,0,32450
São João Del Rei,3114907,Casa Grande,8,8,1,10,5,0.5,2900
Uberlândia,3115003,Cascalho Rico,25,25,1,5,2,0.4,6400
Passos,3115102,Cássia,309,280,0.9061488673139159,143,37,0.25874125874125875,78000
São João Del Rei,3115201,Conceição da Barra de Minas,119,114,0.957983193277311,46,18,0.391304347826087,31900
Muriaé,3115300,Cataguases,567,507,0.8941798941798942,656,149,0.22713414634146342,148300
Metropolitana,3115359,Catas Altas,45,41,0.9111111111111111,30,9,0.3,11300
São João Del Rei,3115409,Catas Altas da Noruega,196,181,0.923469387755102,74,34,0.4594594594594595,52500
Teófilo Otoni,3115458,Catuji,597,525,0.8793969849246231,61,14,0.22950819672131148,141450
Montes Claros,3115474,Catuti,325,286,0.88,18,5,0.2777777777777778,82300
Varginha,3115508,Caxambu,439,427,0.9726651480637813,182,37,0.2032967032967033,113450
Divinópolis,3115607,Cedro do Abaeté,41,41,1,12,7,0.5833333333333334,11600
Governador Valadares,3115706,Central de Minas,366,310,0.8469945355191257,13,6,0.46153846153846156,88600
Ituiutaba,3115805,Centralina,228,214,0.9385964912280702,23,6,0.2608695652173913,52500
Juiz de Fora,3115904,Chácara,19,14,0.7368421052631579,5,0,0,3100
Governador Valadares,3116001,Chalé,396,351,0.8863636363636364,18,0,0,85150
Araçuaí,3116100,Chapada do Norte,752,721,0.9587765957446809,152,52,0.34210526315789475,204650
Montes Claros,3116159,Chapada Gaúcha,680,625,0.9191176470588235,69,26,0.37681159420289856,181300
Juiz de Fora,3116209,Chiador,21,20,0.9523809523809523,0,0,0,4600
São João Del Rei,3116308,Cipotânea,382,376,0.9842931937172775,52,44,0.8461538461538461,106600
Passos,3116407,Claraval,87,87,1,22,8,0.36363636363636365,24100
Montes Claros,3116506,Claro dos Poções,436,412,0.944954128440367,80,30,0.375,120300
Divinópolis,3116605,Cláudio,134,132,0.9850746268656716,137,74,0.5401459854014599,44600
Muriaé,3116704,Coimbra,179,94,0.5251396648044693,78,6,0.07692307692307693,25650
Diamantina,3116803,Coluna,653,537,0.8223583460949464,107,41,0.38317757009345793,155300
Uberaba,3116902,Comendador Gomes,27,21,0.7777777777777778,1,0,0,4800
Araçuaí,3117009,Comercinho,476,435,0.9138655462184874,22,7,0.3181818181818182,128500
Passos,3117108,Conceição da Aparecida,157,121,0.7707006369426752,123,14,0.11382113821138211,32800
Varginha,3117207,Conceição das Pedras,69,66,0.9565217391304348,18,11,0.6111111111111112,15300
Uberaba,3117306,Conceição das Alagoas,151,139,0.9205298013245033,238,34,0.14285714285714285,37900
Governador Valadares,3117405,Conceição de Ipanema,189,126,0.6666666666666666,6,1,0.16666666666666666,31400
Diamantina,3117504,Conceição do Mato Dentro,789,642,0.8136882129277566,195,49,0.2512820512820513,172200
Divinópolis,3117603,Conceição do Pará,116,71,0.6120689655172413,68,7,0.10294117647058823,17900
Varginha,3117702,Conceição do Rio Verde,373,350,0.938337801608579,156,26,0.16666666666666666,89200
Poços de Caldas,3117801,Conceição dos Ouros,57,46,0.8070175438596491,66,9,0.13636363636363635,12800
Montes Claros,3117836,Cônego Marinho,675,608,0.9007407407407407,40,21,0.525,182400
Metropolitana,3117876,Confins,48,47,0.9791666666666666,16,6,0.375,13500
Poços de Caldas,3117900,Congonhal,92,71,0.7717391304347826,101,4,0.039603960396039604,20800
São João Del Rei,3118007,Congonhas,49,42,0.8571428571428571,109,12,0.11009174311926606,11800
Curvelo,3118106,Congonhas do Norte,294,294,1,44,16,0.36363636363636365,78400
Uberaba,3118205,Conquista,110,107,0.9727272727272728,35,3,0.08571428571428572,29900
São João Del Rei,3118304,Conselheiro Lafaiete,323,295,0.913312693498452,719,121,0.16828929068150209,86900
Governador Valadares,3118403,Conselheiro Pena,805,698,0.867080745341615,115,26,0.22608695652173913,181900
Poços de Caldas,3118502,Consolação,57,57,1,3,2,0.6666666666666666,15200
Metropolitana,3118601,Contagem,5377,5126,0.9533196949972104,1624,353,0.21736453201970443,1366500
Varginha,3118700,Coqueiral,262,259,0.9885496183206107,115,27,0.23478260869565218,74500
Montes Claros,3118809,Coração de Jesus,2384,2310,0.9689597315436241,111,54,0.4864864864864865,662800
Curvelo,3118908,Cordisburgo,378,373,0.9867724867724867,36,8,0.2222222222222222,93850
Varginha,3119005,Cordislândia,123,117,0.9512195121951219,15,10,0.6666666666666666,33700
Curvelo,3119104,Corinto,438,411,0.9383561643835616,120,34,0.2833333333333333,110200
Governador Valadares,3119203,Coroaci,354,291,0.8220338983050848,32,9,0.28125,72300
Patos de Minas,3119302,Coromandel,286,255,0.8916083916083916,426,62,0.14553990610328638,69100
Timóteo,3119401,Coronel Fabriciano,1591,1572,0.9880578252671276,591,148,0.25042301184433163,434500
Araçuaí,3119500,Coronel Murta,340,327,0.961764705882353,42,9,0.21428571428571427,94600
Juiz de Fora,3119609,Coronel Pacheco,20,20,1,0,0,0,5000
São João Del Rei,3119708,Coronel Xavier Chaves,16,16,1,42,0,0,4700
Divinópolis,3119807,Córrego Danta,37,34,0.918918918918919,11,10,0.9090909090909091,9900
Poços de Caldas,3119906,Córrego do Bom Jesus,33,19,0.5757575757575758,25,1,0.04,5200
Divinópolis,3119955,Córrego Fundo,7,7,1,4,0,0,2000
Timóteo,3120003,Córrego Novo,115,108,0.9391304347826087,23,17,0.7391304347826086,33100
Diamantina,3120102,Couto de Magalhães de Minas,166,160,0.963855421686747,23,13,0.5652173913043478,45300
Teófilo Otoni,3120151,Crisólita,265,225,0.8490566037735849,34,11,0.3235294117647059,60900
Divinópolis,3120201,Cristais,73,67,0.9178082191780822,74,5,0.06756756756756757,19200
Montes Claros,3120300,Cristália,694,671,0.9668587896253602,20,4,0.2,194800
São João Del Rei,3120409,Cristiano Otoni,75,69,0.92,16,11,0.6875,19700
Varginha,3120508,Cristina,90,78,0.8666666666666667,117,18,0.15384615384615385,23100
Divinópolis,3120607,Crucilândia,129,122,0.9457364341085271,49,5,0.10204081632653061,28900
Patos de Minas,3120706,Cruzeiro da Fortaleza,31,26,0.8387096774193549,8,0,0,6100
Varginha,3120805,Cruzília,351,322,0.9173789173789174,45,14,0.3111111111111111,81450
Governador Valadares,3120839,Cuparaque,89,83,0.9325842696629213,13,0,0,19800
Salinas,3120870,Curral de Dentro,658,622,0.9452887537993921,27,13,0.48148148148148145,179300
Curvelo,3120904,Curvelo,1458,1358,0.9314128943758574,504,171,0.3392857142857143,369450
Diamantina,3121001,Datas,133,104,0.7819548872180451,38,12,0.3157894736842105,28600
Poços de Caldas,3121100,Delfim Moreira,66,49,0.7424242424242424,79,10,0.12658227848101267,13700
Passos,3121209,Delfinópolis,27,24,0.8888888888888888,50,19,0.38,7200
Uberaba,3121258,Delta,82,70,0.8536585365853658,12,4,0.3333333333333333,16800
Juiz de Fora,3121308,Descoberto,73,58,0.7945205479452054,15,7,0.4666666666666667,15900
São João Del Rei,3121407,Desterro de Entre Rios,108,102,0.9444444444444444,76,7,0.09210526315789473,26400
São João Del Rei,3121506,Desterro do Melo,39,36,0.9230769230769231,2,0,0,9300
Diamantina,3121605,Diamantina,1522,1452,0.9540078843626807,487,133,0.2731006160164271,417700
Timóteo,3121704,Diogo de Vasconcelos,177,176,0.9943502824858758,19,11,0.5789473684210527,47000
Timóteo,3121803,Dionísio,266,250,0.9398496240601504,76,25,0.32894736842105265,74000
Juiz de Fora,3121902,Divinésia,33,31,0.9393939393939394,37,21,0.5675675675675675,11300
Muriaé,3122009,Divino,732,442,0.6038251366120219,509,64,0.12573673870333987,128400
Governador Valadares,3122108,Divino das Laranjeiras,240,232,0.9666666666666667,20,14,0.7,64500
Governador Valadares,3122207,Divinolândia de Minas,375,355,0.9466666666666667,44,19,0.4318181818181818,95200
Divinópolis,3122306,Divinópolis,447,420,0.9395973154362416,868,149,0.1716589861751152,122600
Salinas,3122355,Divisa Alegre,225,218,0.9688888888888889,28,11,0.39285714285714285,62650
Poços de Caldas,3122405,Divisa Nova,69,66,0.9565217391304348,70,9,0.12857142857142856,17800
Almenara,3122454,Divisópolis,591,550,0.9306260575296108,26,18,0.6923076923076923,157500
Paracatu,3122470,Dom Bosco,147,133,0.9047619047619048,60,19,0.31666666666666665,37400
Governador Valadares,3122504,Dom Cavati,81,81,1,31,4,0.12903225806451613,20300
Diamantina,3122603,Dom Joaquim,316,305,0.9651898734177216,43,4,0.09302325581395349,83100
Timóteo,3122702,Dom Silvério,94,57,0.6063829787234043,16,2,0.125,14800
Varginha,3122801,Dom Viçoso,13,12,0.9230769230769231,37,7,0.1891891891891892,3700
Juiz de Fora,3122900,Dona Euzébia,56,39,0.6964285714285714,44,4,0.09090909090909091,11000
São João Del Rei,3123007,Dores de Campos,36,31,0.8611111111111112,68,7,0.10294117647058823,8100
Governador Valadares,3123106,Dores de Guanhães,146,90,0.6164383561643836,71,28,0.39436619718309857,27400
Divinópolis,3123205,Dores do Indaiá,45,43,0.9555555555555556,72,5,0.06944444444444445,11200
Juiz de Fora,3123304,Dores do Turvo,182,182,1,23,1,0.043478260869565216,47200
Passos,3123403,Doresópolis,6,6,1,14,0,0,1300
Uberlândia,3123502,Douradoquara,61,57,0.9344262295081968,15,2,0.13333333333333333,14200
Governador Valadares,3123528,Durandé,488,401,0.8217213114754098,31,10,0.3225806451612903,98500
Varginha,3123601,Elói Mendes,170,162,0.9529411764705882,166,19,0.1144578313253012,42700
Governador Valadares,3123700,Engenheiro Caldas,245,236,0.963265306122449,64,22,0.34375,66200
Montes Claros,3123809,Engenheiro Navarro,516,483,0.936046511627907,7,6,0.8571428571428571,138000
Timóteo,3123858,Entre Folhas,179,134,0.7486033519553073,76,9,0.11842105263157894,36100
São João Del Rei,3123908,Entre Rios de Minas,258,242,0.937984496124031,113,17,0.1504424778761062,60300
Muriaé,3124005,Ervália,424,405,0.9551886792452831,361,18,0.04986149584487535,90300
Metropolitana,3124104,Esmeraldas,1536,1272,0.828125,539,116,0.21521335807050093,354150
Muriaé,3124203,Espera Feliz,796,589,0.7399497487437185,328,27,0.08231707317073171,150250
Montes Claros,3124302,Espinosa,2278,2083,0.9143985952589991,280,115,0.4107142857142857,605000
Varginha,3124401,Espírito Santo do Dourado,21,21,1,168,4,0.023809523809523808,6000
Poços de Caldas,3124500,Estiva,177,112,0.632768361581921,139,15,0.1079136690647482,34000
Muriaé,3124609,Estrela Dalva,48,47,0.9791666666666666,19,3,0.15789473684210525,12400
Divinópolis,3124708,Estrela do Indaiá,45,45,1,13,9,0.6923076923076923,14000
Uberlândia,3124807,Estrela do Sul,147,135,0.9183673469387755,54,14,0.25925925925925924,36500
Muriaé,3124906,Eugenópolis,259,183,0.7065637065637066,67,6,0.08955223880597014,50650
Juiz de Fora,3125002,Ewbank da Câmara,172,144,0.8372093023255814,27,13,0.48148148148148145,39200
Poços de Caldas,3125101,Extrema,62,46,0.7419354838709677,53,8,0.1509433962264151,11800
Varginha,3125200,Fama,17,15,0.8823529411764706,12,5,0.4166666666666667,3900
Muriaé,3125309,Faria Lemos,138,108,0.782608695652174,5,0,0,26800
Diamantina,3125408,Felício dos Santos,246,240,0.975609756097561,89,17,0.19101123595505617,67700
