Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Total de dinheiro repassado aos beneficiários
Diamantina,3125507,São Gonçalo do Rio Preto,102,94,0.9215686274509803,10,4,0.4,26500
Almenara,3125606,Felisburgo,423,390,0.9219858156028369,24,8,0.3333333333333333,107300
Curvelo,3125705,Felixlândia,205,188,0.9170731707317074,170,86,0.5058823529411764,58500
Governador Valadares,3125804,Fernandes Tourinho,77,76,0.987012987012987,22,6,0.2727272727272727,20100
Timóteo,3125903,Ferros,460,400,0.8695652173913043,104,21,0.20192307692307693,115500
Muriaé,3125952,Fervedouro,655,542,0.8274809160305343,145,27,0.18620689655172415,157850
Metropolitana,3126000,Florestal,53,42,0.7924528301886793,41,11,0.2682926829268293,12300
Divinópolis,3126109,Formiga,383,367,0.95822454308094,184,27,0.14673913043478262,101700
Paracatu,3126208,Formoso,507,455,0.8974358974358975,38,17,0.4473684210526316,125200
Passos,3126307,Fortaleza de Minas,28,23,0.8214285714285714,22,7,0.3181818181818182,7200
Metropolitana,3126406,Fortuna de Minas,8,7,0.875,0,0,0,1800
Araçuaí,3126505,Francisco Badaró,469,466,0.9936034115138592,48,21,0.4375,134500
Montes Claros,3126604,Francisco Dumont,235,222,0.9446808510638298,39,17,0.4358974358974359,64200
Montes Claros,3126703,Francisco Sá,1313,1199,0.9131759329779132,137,84,0.6131386861313869,352100
Teófilo Otoni,3126752,Franciscópolis,415,381,0.9180722891566265,31,4,0.12903225806451613,111200
Teófilo Otoni,3126802,Frei Gaspar,269,258,0.9591078066914498,38,14,0.3684210526315789,67750
Governador Valadares,3126901,Frei Inocêncio,656,608,0.926829268292683,15,7,0.4666666666666667,168650
Diamantina,3126950,Frei Lagonegro,268,266,0.9925373134328358,17,12,0.7058823529411765,77000
Uberaba,3127008,Fronteira,272,252,0.9264705882352942,55,22,0.4,71900
Teófilo Otoni,3127057,Fronteira dos Vales,317,309,0.9747634069400631,6,2,0.3333333333333333,88600
Salinas,3127073,Fruta de Leite,356,346,0.9719101123595506,90,28,0.3111111111111111,104600
Uberaba,3127107,Frutal,438,404,0.9223744292237442,423,169,0.39952718676122934,121850
Metropolitana,3127206,Funilândia,193,185,0.9585492227979274,36,10,0.2777777777777778,51150
Governador Valadares,3127305,Galiléia,222,205,0.9234234234234234,35,9,0.2571428571428571,53400
Montes Claros,3127339,Gameleiras,314,293,0.9331210191082803,21,15,0.7142857142857143,84250
Montes Claros,3127354,Glaucilândia,113,112,0.9911504424778761,32,16,0.5,34000
Governador Valadares,3127370,Goiabeira,71,61,0.8591549295774648,19,0,0,15200
Juiz de Fora,3127388,Goianá,83,74,0.891566265060241,25,10,0.4,21600
Poços de Caldas,3127404,Gonçalves,8,4,0.5,13,1,0.07692307692307693,1200
Governador Valadares,3127503,Gonzaga,155,133,0.8580645161290322,71,8,0.11267605633802817,37200
Diamantina,3127602,Gouveia,220,202,0.9181818181818182,118,34,0.288135593220339,59650
Governador Valadares,3127701,Governador Valadares,3156,2898,0.9182509505703422,2193,591,0.2694938440492476,810600
Montes Claros,3127800,Grão Mogol,589,568,0.9643463497453311,115,57,0.4956521739130435,155850
Uberlândia,3127909,Grupiara,23,14,0.6086956521739131,11,1,0.09090909090909091,4100
Governador Valadares,3128006,Guanhães,659,572,0.8679817905918058,509,144,0.2829076620825147,167050
Passos,3128105,Guapé,127,119,0.937007874015748,135,14,0.1037037037037037,34300
Muriaé,3128204,Guaraciaba,562,457,0.8131672597864769,36,15,0.4166666666666667,122800
Montes Claros,3128253,Guaraciama,339,324,0.9557522123893806,11,10,0.9090909090909091,95400
Poços de Caldas,3128303,Guaranésia,110,105,0.9545454545454546,125,14,0.112,29000
Juiz de Fora,3128402,Guarani,153,119,0.7777777777777778,51,6,0.11764705882352941,29800
Juiz de Fora,3128501,Guarará,36,31,0.8611111111111112,3,0,0,8600
Paracatu,3128600,Guarda-Mor,67,61,0.9104477611940298,94,16,0.1702127659574468,19600
Poços de Caldas,3128709,Guaxupé,281,269,0.9572953736654805,288,50,0.1736111111111111,77850
Muriaé,3128808,Guidoval,280,234,0.8357142857142857,18,2,0.1111111111111111,57500
Patos de Minas,3128907,Guimarânia,283,279,0.9858657243816255,38,18,0.47368421052631576,75800
Muriaé,3129004,Guiricema,280,217,0.775,38,4,0.10526315789473684,56500
Ituiutaba,3129103,Gurinhatã,76,55,0.7236842105263158,20,10,0.5,15800
Varginha,3129202,Heliodora,81,62,0.7654320987654321,65,2,0.03076923076923077,15900
Timóteo,3129301,Iapu,367,357,0.9727520435967303,116,21,0.1810344827586207,101200
São João Del Rei,3129400,Ibertioga,149,136,0.912751677852349,49,3,0.061224489795918366,31700
Patos de Minas,3129509,Ibiá,239,223,0.9330543933054394,228,29,0.12719298245614036,59300
Montes Claros,3129608,Ibiaí,537,507,0.9441340782122905,17,14,0.8235294117647058,147900
Montes Claros,3129657,Ibiracatu,413,383,0.927360774818402,51,17,0.3333333333333333,110400
Passos,3129707,Ibiraci,203,180,0.8866995073891626,97,36,0.3711340206185567,54250
Metropolitana,3129806,Ibirité,2723,2647,0.9720896070510466,1127,367,0.3256433007985803,738950
Poços de Caldas,3129905,Ibitiúra de Minas,34,33,0.9705882352941176,26,2,0.07692307692307693,9700
São João Del Rei,3130002,Ibituruna,97,94,0.9690721649484536,28,5,0.17857142857142858,25800
Montes Claros,3130051,Icaraí de Minas,856,755,0.8820093457943925,68,32,0.47058823529411764,226400
Metropolitana,3130101,Igarapé,1016,903,0.8887795275590551,353,103,0.29178470254957506,256300
Divinópolis,3130200,Igaratinga,13,10,0.7692307692307693,43,4,0.09302325581395349,2650
Divinópolis,3130309,Iguatama,136,121,0.8897058823529411,32,7,0.21875,30550
São João Del Rei,3130408,Ijaci,159,152,0.9559748427672956,22,3,0.13636363636363635,39500
Passos,3130507,Ilicínea,121,114,0.9421487603305785,94,16,0.1702127659574468,31200
Timóteo,3130556,Imbé de Minas,286,265,0.9265734265734266,19,0,0,61950
Poços de Caldas,3130606,Inconfidentes,31,31,1,69,15,0.21739130434782608,10400
Salinas,3130655,Indaiabira,479,468,0.9770354906054279,37,24,0.6486486486486487,132700
Uberlândia,3130705,Indianópolis,30,27,0.9,7,1,0.14285714285714285,6500
São João Del Rei,3130804,Ingaí,12,12,1,23,8,0.34782608695652173,4000
Governador Valadares,3130903,Inhapim,1053,910,0.8641975308641975,189,37,0.19576719576719576,243300
Metropolitana,3131000,Inhaúma,279,237,0.8494623655913979,14,9,0.6428571428571429,64300
Curvelo,3131109,Inimutaba,246,223,0.9065040650406504,62,11,0.1774193548387097,61400
Timóteo,3131158,Ipaba,459,417,0.9084967320261438,135,38,0.2814814814814815,112800
Governador Valadares,3131208,Ipanema,613,534,0.8711256117455138,96,21,0.21875,141300
Timóteo,3131307,Ipatinga,3416,3363,0.9844847775175644,827,211,0.2551390568319226,916150
Ituiutaba,3131406,Ipiaçu,55,55,1,5,0,0,13900
Poços de Caldas,3131505,Ipuiúna,84,62,0.7380952380952381,89,4,0.0449438202247191,15350
Uberlândia,3131604,Iraí de Minas,240,225,0.9375,17,3,0.17647058823529413,59700
Timóteo,3131703,Itabira,925,819,0.8854054054054054,522,100,0.19157088122605365,215800
Governador Valadares,3131802,Itabirinha,310,223,0.7193548387096774,83,5,0.060240963855421686,54500
Metropolitana,3131901,Itabirito,269,223,0.828996282527881,169,29,0.17159763313609466,59450
Montes Claros,3132008,Itacambira,306,299,0.9771241830065359,16,2,0.125,83300
Montes Claros,3132107,Itacarambi,578,452,0.7820069204152249,122,42,0.3442622950819672,130900
Metropolitana,3132206,Itaguara,155,147,0.9483870967741935,69,6,0.08695652173913043,35650
Teófilo Otoni,3132305,Itaipé,828,685,0.8272946859903382,46,6,0.13043478260869565,184700
Poços de Caldas,3132404,Itajubá,592,510,0.8614864864864865,330,69,0.20909090909090908,142500
Diamantina,3132503,Itamarandiba,1228,1209,0.9845276872964169,435,191,0.43908045977011495,351300
Muriaé,3132602,Itamarati de Minas,12,8,0.6666666666666666,9,0,0,2100
Teófilo Otoni,3132701,Itambacuri,1171,986,0.8420153714773698,182,43,0.23626373626373626,282500
Timóteo,3132800,Itambé do Mato Dentro,75,75,1,26,3,0.11538461538461539,22000
Passos,3132909,Itamogi,80,66,0.825,99,40,0.40404040404040403,21000
Varginha,3133006,Itamonte,62,45,0.7258064516129032,105,3,0.02857142857142857,10100
Varginha,3133105,Itanhandu,82,77,0.9390243902439024,61,6,0.09836065573770492,19100
Governador Valadares,3133204,Itanhomi,198,169,0.8535353535353535,94,6,0.06382978723404255,45800
Araçuaí,3133303,Itaobim,919,830,0.9031556039173014,109,45,0.41284403669724773,236600
Uberaba,3133402,Itapagipe,232,215,0.9267241379310345,25,9,0.36,55300
Divinópolis,3133501,Itapecerica,286,254,0.8881118881118881,122,20,0.16393442622950818,69400
Poços de Caldas,3133600,Itapeva,40,27,0.675,20,2,0.1,7200
Metropolitana,3133709,Itatiaiuçu,157,138,0.8789808917197452,49,10,0.20408163265306123,38250
Passos,3133758,Itaú de Minas,18,17,0.9444444444444444,42,19,0.4523809523809524,6900
Divinópolis,3133808,Itaúna,672,610,0.9077380952380952,352,89,0.2528409090909091,167650
São João Del Rei,3133907,Itaverava,343,343,1,47,10,0.2127659574468085,90100
Araçuaí,3134004,Itinga,1037,962,0.9276759884281581,96,41,0.4270833333333333,284900
Governador Valadares,3134103,Itueta,193,172,0.8911917098445595,20,1,0.05,43000
Ituiutaba,3134202,Ituiutaba,318,296,0.9308176100628931,649,116,0.17873651771956856,85400
São João Del Rei,3134301,Itumirim,134,127,0.9477611940298507,96,27,0.28125,36100
Ituiutaba,3134400,Iturama,723,606,0.8381742738589212,86,13,0.1511627906976744,153100
São João Del Rei,3134509,Itutinga,37,34,0.918918918918919,42,32,0.7619047619047619,11300
Metropolitana,3134608,Jaboticatubas,312,251,0.8044871794871795,175,25,0.14285714285714285,64300
Almenara,3134707,Jacinto,562,530,0.9430604982206405,68,14,0.20588235294117646,144400
Passos,3134806,Jacuí,36,33,0.9166666666666666,26,10,0.38461538461538464,8500
Poços de Caldas,3134905,Jacutinga,28,17,0.6071428571428571,70,3,0.04285714285714286,4500
Timóteo,3135001,Jaguaraçu,19,19,1,10,1,0.1,4600
Montes Claros,3135050,Jaíba,3958,3553,0.8976755937342092,249,107,0.42971887550200805,1024750
Governador Valadares,3135076,Jampruca,278,249,0.89568345323741,15,3,0.2,60600
Montes Claros,3135100,Janaúba,2522,2424,0.9611419508326725,617,224,0.36304700162074555,694450
Montes Claros,3135209,Januária,4892,4396,0.8986099754701553,448,207,0.46205357142857145,1302250
Divinópolis,3135308,Japaraíba,51,47,0.9215686274509803,13,6,0.46153846153846156,13700
Montes Claros,3135357,Japonvar,381,352,0.9238845144356955,55,19,0.34545454545454546,104800
São João Del Rei,3135407,Jeceaba,33,19,0.5757575757575758,19,0,0,4200
Araçuaí,3135456,Jenipapo de Minas,420,417,0.9928571428571429,124,28,0.22580645161290322,121500
Timóteo,3135506,Jequeri,408,362,0.8872549019607843,215,42,0.19534883720930232,97500
Montes Claros,3135605,Jequitaí,632,581,0.9193037974683544,9,2,0.2222222222222222,163500
Curvelo,3135704,Jequitibá,126,121,0.9603174603174603,64,13,0.203125,32450
Almenara,3135803,Jequitinhonha,1263,1149,0.9097387173396675,273,64,0.23443223443223443,326450
Varginha,3135902,Jesuânia,132,126,0.9545454545454546,84,17,0.20238095238095238,32400
Almenara,3136009,Joaíma,918,782,0.8518518518518519,50,17,0.34,225200
Timóteo,3136108,Joanésia,178,176,0.9887640449438202,33,4,0.12121212121212122,50200
Timóteo,3136207,João Monlevade,868,814,0.9377880184331797,236,75,0.3177966101694915,222300
Paracatu,3136306,João Pinheiro,1897,1676,0.8835002635740643,409,121,0.29584352078239606,467350
Curvelo,3136405,Joaquim Felício,36,32,0.8888888888888888,24,1,0.041666666666666664,8000
Almenara,3136504,Jordânia,589,504,0.8556876061120543,60,34,0.5666666666666667,141500
Araçuaí,3136520,José Gonçalves de Minas,231,188,0.8138528138528138,75,6,0.08,55600
Governador Valadares,3136553,José Raydan,278,277,0.9964028776978417,27,9,0.3333333333333333,75100
Salinas,3136579,Josenópolis,286,282,0.986013986013986,28,23,0.8214285714285714,85250
Metropolitana,3136603,Nova União,196,184,0.9387755102040817,71,16,0.22535211267605634,51600
Metropolitana,3136652,Juatuba,315,280,0.8888888888888888,99,32,0.32323232323232326,76000
Juiz de Fora,3136702,Juiz de Fora,3665,3547,0.9678035470668486,1494,436,0.2918340026773762,971250
Montes Claros,3136801,Juramento,214,202,0.9439252336448598,27,12,0.4444444444444444,57600
Poços de Caldas,3136900,Juruaia,56,24,0.42857142857142855,67,3,0.04477611940298507,6700
Montes Claros,3136959,Juvenília,397,356,0.8967254408060453,41,22,0.5365853658536586,105800
Teófilo Otoni,3137007,Ladainha,997,784,0.7863590772316951,168,51,0.30357142857142855,211400
Patos de Minas,3137106,Lagamar,320,315,0.984375,24,8,0.3333333333333333,81000
Divinópolis,3137205,Lagoa da Prata,729,677,0.9286694101508917,366,95,0.25956284153005466,185550
Montes Claros,3137304,Lagoa dos Patos,225,225,1,26,12,0.46153846153846156,62050
São João Del Rei,3137403,Lagoa Dourada,30,29,0.9666666666666667,84,2,0.023809523809523808,8200
Patos de Minas,3137502,Lagoa Formosa,179,170,0.94972067039106145,119,34,0.2857142857142857,50200
Patos de Minas,3137536,Lagoa Grande,298,296,0.9932885906040269,48,22,0.4583333333333333,80800
Metropolitana,3137601,Lagoa Santa,282,273,0.9680851063829787,166,33,0.19879518072289157,70900
Governador Valadares,3137700,Lajinha,1035,848,0.8193236714975846,89,16,0.1797752808988764,228800
Varginha,3137809,Lambari,422,397,0.9407582938388626,128,21,0.1640625,105600
São João Del Rei,3137908,Lamim,177,166,0.9378531073446328,33,5,0.15151515151515152,49150
Muriaé,3138005,Laranjal,75,65,0.8666666666666667,13,2,0.15384615384615385,17000
Curvelo,3138104,Lassance,394,353,0.8959390862944162,31,11,0.3548387096774194,101900
Varginha,3138203,Lavras,765,738,0.9647058823529412,403,101,0.2506203473945409,201950
Divinópolis,3138302,Leandro Ferreira,50,36,0.72,34,5,0.14705882352941177,10400
Araçuaí,3138351,Leme do Prado,186,184,0.989247311827957,50,10,0.2,49800
Muriaé,3138401,Leopoldina,371,339,0.9137466307277629,350,54,0.15428571428571428,93300
Juiz de Fora,3138500,Liberdade,97,82,0.845360824742268,59,4,0.06779661016949153,19600
Juiz de Fora,3138609,Lima Duarte,223,180,0.8071748878923767,151,40,0.26490066225165565,45700
Ituiutaba,3138625,Limeira do Oeste,102,85,0.8333333333333334,13,4,0.3076923076923077,22950
Montes Claros,3138658,Lontra,501,483,0.9640718562874252,30,12,0.4,134600
Muriaé,3138674,Luisburgo,255,213,0.8352941176470589,40,4,0.1,57700
Montes Claros,3138682,Luislândia,601,600,0.9983361064891847,50,26,0.52,174600
Varginha,3138708,Luminárias,68,66,0.9705882352941176,36,5,0.1388888888888889,17400
Divinópolis,3138807,Luz,181,161,0.8895027624309392,64,5,0.078125,41500
Teófilo Otoni,3138906,Machacalis,449,435,0.9688195991091314,23,15,0.6521739130434783,125550
Varginha,3139003,Machado,320,297,0.928125,453,80,0.17660044150110377,81500
São João Del Rei,3139102,Madre de Deus de Minas,52,48,0.9230769230769231,38,3,0.07894736842105263,13200
Teófilo Otoni,3139201,Malacacheta,923,818,0.886240520043337,331,111,0.33534743202416917,245850
Montes Claros,3139250,Mamonas,301,292,0.9700996677740864,44,15,0.3409090909090909,86800
Montes Claros,3139300,Manga,1250,1137,0.9096,158,54,0.34177215189873417,328550
Muriaé,3139409,Manhuaçu,1011,806,0.7972304648862513,630,78,0.12380952380952381,223700
Muriaé,3139508,Manhumirim,412,286,0.6941747572815534,87,9,0.10344827586206896,72450
Governador Valadares,3139607,Mantena,220,190,0.8636363636363636,185,23,0.12432432432432433,47950
Divinópolis,3139706,Maravilhas,170,150,0.8823529411764706,1,0,0,39600
Juiz de Fora,3139805,Mar de Espanha,167,143,0.8562874251497006,87,18,0.20689655172413793,36700
Varginha,3139904,Maria da Fé,121,110,0.9090909090909091,108,17,0.1574074074074074,28000
Metropolitana,3140001,Mariana,1183,1041,0.8799661876584953,171,50,0.29239766081871343,282650
Governador Valadares,3140100,Marilac,271,255,0.940959409594096,20,10,0.5,72000
Metropolitana,3140159,Mário Campos,298,292,0.9798657718120806,115,17,0.14782608695652175,75600
Juiz de Fora,3140209,Maripá de Minas,3,3,1,14,0,0,600
Timóteo,3140308,Marliéria,127,117,0.9212598425196851,22,6,0.2727272727272727,33600
Poços de Caldas,3140407,Marmelópolis,90,88,0.9777777777777777,38,21,0.5526315789473685,26800
Divinópolis,3140506,Martinho Campos,229,223,0.9737991266375546,77,22,0.2857142857142857,63400
Muriaé,3140530,Martins Soares,276,223,0.8079710144927537,98,31,0.3163265306122449,54800
Almenara,3140555,Mata Verde,538,516,0.9591078066914498,24,4,0.16666666666666666,140200
Diamantina,3140605,Materlândia,232,228,0.9827586206896551,19,12,0.631578947368421,60200
Metropolitana,3140704,Mateus Leme,554,487,0.8790613718411552,254,91,0.35826771653543305,144200
Juiz de Fora,3140803,Matias Barbosa,143,130,0.9090909090909091,59,6,0.1016949152542373,32300
Montes Claros,3140852,Matias Cardoso,426,297,0.6971830985915493,130,21,0.16153846153846155,84300
Muriaé,3140902,Matipó,1221,970,0.7944307944307945,183,74,0.40437158469945356,256900
Montes Claros,3141009,Mato Verde,821,758,0.9232643118148599,39,26,0.6666666666666666,216300
Metropolitana,3141108,Matozinhos,755,748,0.990728476821192,175,113,0.6457142857142857,212550
Patos de Minas,3141207,Matutina,18,15,0.8333333333333334,36,2,0.05555555555555555,3300
Divinópolis,3141306,Medeiros,16,13,0.8125,5,0,0,3400
Araçuaí,3141405,Medina,908,799,0.8799559471365639,268,115,0.4291044776119403,236900
Governador Valadares,3141504,Mendes Pimentel,228,205,0.8991228070175439,29,5,0.1724137931034483,51900
Juiz de Fora,3141603,Mercês,234,204,0.8717948717948718,92,18,0.1956521739130435,52900
Timóteo,3141702,Mesquita,166,161,0.9698795180722891,19,3,0.15789473684210525,43950
Araçuaí,3141801,Minas Novas,1608,1577,0.9807213930348259,242,76,0.3140495867768595,444300
São João Del Rei,3141900,Minduri,78,73,0.9358974358974359,21,0,0,17750
Montes Claros,3142007,Mirabela,722,677,0.9376731301939059,62,27,0.43548387096774194,196300
Muriaé,3142106,Miradouro,158,80,0.5063291139240507,29,3,0.10344827586206896,21200
Muriaé,3142205,Miraí,147,132,0.8979591836734694,106,10,0.09433962264150944,37800
Montes Claros,3142254,Miravânia,299,273,0.9130434782608695,15,5,0.3333333333333333,76700
Metropolitana,3142304,Moeda,157,157,1,18,1,0.05555555555555555,38100
Divinópolis,3142403,Moema,143,122,0.8531468531468531,104,17,0.16346153846153846,33000
Curvelo,3142502,Monjolos,56,53,0.9464285714285714,28,7,0.25,15100
Varginha,3142601,Monsenhor Paulo,168,142,0.8452380952380952,66,19,0.2878787878787879,41650
Montes Claros,3142700,Montalvânia,1237,1171,0.946645109135004,78,41,0.5256410256410257,343000
Uberlândia,3142809,Monte Alegre de Minas,293,272,0.9283276450511946,62,12,0.1935483870967742,68100
Montes Claros,3142908,Monte Azul,1149,1073,0.9338555265448216,126,37,0.29365079365079366,299000
Poços de Caldas,3143005,Monte Belo,147,125,0.8503401360544217,107,12,0.11214953271028037,32600
Uberlândia,3143104,Monte Carmelo,150,137,0.9133333333333333,442,66,0.1493212669683258,39000
Almenara,3143153,Monte Formoso,344,337,0.9796511627906976,56,11,0.19642857142857142,96300
Passos,3143203,Monte Santo de Minas,251,245,0.9760956175298805,152,35,0.23026315789473684,68800
Montes Claros,3143302,Montes Claros,3776,3511,0.9298199152542372,4225,1466,0.3469822485207101,1107350
Poços de Caldas,3143401,Monte Sião,73,67,0.9178082191780822,69,10,0.14492753623188406,20350
Salinas,3143450,Montezuma,337,295,0.8753709198813057,76,19,0.25,88900
Divinópolis,3143500,Morada Nova de Minas,10,9,0.9,10,0,0,2000
Curvelo,3143609,Morro da Garça,16,14,0.875,12,6,0.5,4200
Metropolitana,3143708,Morro do Pilar,265,258,0.9735849056603774,20,4,0.2,69600
Poços de Caldas,3143807,Munhoz,33,19,0.5757575757575758,76,11,0.14473684210526316,5900
Muriaé,3143906,Muriaé,663,613,0.9245852187028658,568,87,0.15316901408450703,172200
Governador Valadares,3144003,Mutum,700,470,0.6714285714285714,369,54,0.14634146341463414,130050
Poços de Caldas,3144102,Muzambinho,253,224,0.8853754940711462,124,9,0.07258064516129033,54900
Governador Valadares,3144201,Nacip Raydan,113,109,0.9646017699115044,32,2,0.0625,29900
Teófilo Otoni,3144300,Nanuque,924,877,0.9491341991341992,335,94,0.28059701492537314,249400
Timóteo,3144359,Naque,362,335,0.925414364640884,31,12,0.3870967741935484,92900
Paracatu,3144375,Natalândia,133,118,0.8872180451127819,21,4,0.19047619047619047,29150
Varginha,3144409,Natércia,28,28,1,45,34,0.7555555555555555,11600
São João Del Rei,3144508,Nazareno,298,281,0.9429530201342282,62,21,0.3387096774193548,73200
Varginha,3144607,Nepomuceno,296,270,0.9121621621621622,336,42,0.125,75100
Salinas,3144656,Ninheira,603,562,0.9320066334991708,40,9,0.225,156000
Governador Valadares,3144672,Nova Belém,168,141,0.8392857142857143,6,1,0.16666666666666666,36800
Timóteo,3144706,Nova Era,276,259,0.9384057971014492,136,47,0.34558823529411764,76100
Metropolitana,3144805,Nova Lima,544,478,0.8786764705882353,272,53,0.1948529411764706,128000
Governador Valadares,3144904,Nova Módica,170,136,0.8,26,9,0.34615384615384615,36800
Uberlândia,3145000,Nova Ponte,67,62,0.9253731343283582,27,1,0.037037037037037035,13900
Montes Claros,3145059,Nova Porteirinha,374,351,0.9385026737967914,31,19,0.6129032258064516,99700
Passos,3145109,Nova Resende,193,159,0.8238341968911918,84,27,0.32142857142857145,45000
Divinópolis,3145208,Nova Serrana,88,68,0.7727272727272727,139,19,0.1366906474820144,19300
Teófilo Otoni,3145307,Novo Cruzeiro,2461,2233,0.9073547338480292,308,119,0.38636363636363635,663050
Teófilo Otoni,3145356,Novo Oriente de Minas,667,606,0.9085457271364318,63,14,0.2222222222222222,177100
Salinas,3145372,Novorizonte,250,225,0.9,45,29,0.6444444444444445,68600
Juiz de Fora,3145406,Olaria,15,9,0.6,2,0,0,2100
Montes Claros,3145455,Olhos D'Água,569,535,0.9402460456942003,18,12,0.6666666666666666,155250
Varginha,3145505,Olímpio Noronha,30,28,0.9333333333333333,9,1,0.1111111111111111,6500
Divinópolis,3145604,Oliveira,371,340,0.9164420485175202,252,25,0.0992063492063492,91100
Juiz de Fora,3145703,Oliveira Fortes,19,14,0.7368421052631579,7,2,0.2857142857142857,3700
Divinópolis,3145802,Onça do Pitangui,61,52,0.8524590163934426,41,8,0.1951219512195122,13500
Muriaé,3145851,Oratórios,39,30,0.7692307692307693,14,2,0.14285714285714285,8200
Muriaé,3145877,Orizânia,96,82,0.8541666666666666,6,0,0,18500
São João Del Rei,3145901,Ouro Branco,197,170,0.8629441624365483,73,16,0.2191780821917808,45450
Poços de Caldas,3146008,Ouro Fino,82,75,0.9146341463414634,158,40,0.25316455696202533,22500
Metropolitana,3146107,Ouro Preto,946,895,0.9460887949260042,409,75,0.18337408312958436,238550
Teófilo Otoni,3146206,Ouro Verde de Minas,618,560,0.9061488673139159,36,17,0.4722222222222222,166450
Salinas,3146255,Padre Carvalho,498,491,0.9859437751004017,40,21,0.525,142700
Teófilo Otoni,3146305,Padre Paraíso,1089,989,0.9081726354453628,51,24,0.47058823529411764,275100
Divinópolis,3146404,Paineiras,69,68,0.9855072463768116,29,1,0.034482758620689655,16000
Divinópolis,3146503,Pains,66,55,0.8333333333333334,12,1,0.08333333333333333,15300
Montes Claros,3146552,Pai Pedro,199,198,0.9949748743718593,48,19,0.3958333333333333,55800
Juiz de Fora,3146602,Paiva,15,15,1,1,1,1,3700
Muriaé,3146701,Palma,253,229,0.9051383399209486,8,3,0.375,62300
Almenara,3146750,Palmópolis,418,398,0.9521531100478469,30,8,0.26666666666666666,111400
Divinópolis,3146909,Papagaios,246,220,0.8943089430894309,268,44,0.16417910447761194,60000
Paracatu,3147006,Paracatu,587,505,0.8603066439522998,491,82,0.1670061099796334,134600
Metropolitana,3147105,Pará de Minas,493,468,0.949290060851927,426,96,0.22535211267605634,132700
Varginha,3147204,Paraguaçu,171,154,0.9005847953216374,168,14,0.08333333333333333,40400
Poços de Caldas,3147303,Paraisópolis,160,119,0.74375,119,11,0.09243697478991597,32500
Curvelo,3147402,Paraopeba,452,424,0.9380530973451328,124,24,0.1935483870967742,115300
Timóteo,3147501,Passabém,72,69,0.9583333333333334,18,6,0.3333333333333333,18000
Varginha,3147600,Passa Quatro,132,117,0.8863636363636364,116,12,0.10344827586206896,34300
Divinópolis,3147709,Passa Tempo,46,36,0.782608695652174,18,2,0.1111111111111111,10500
Juiz de Fora,3147808,Passa Vinte,4,2,0.5,3,0,0,400
Passos,3147907,Passos,1023,960,0.9384164222873901,895,330,0.3687150837988827,288200
Montes Claros,3147956,Patis,316,276,0.8734177215189873,20,12,0.6,80400
Patos de Minas,3148004,Patos de Minas,474,429,0.9050632911392406,453,83,0.18322295805739514,125500
Patos de Minas,3148103,Patrocínio,953,890,0.9338929695697796,905,273,0.30165745856353593,258950
Muriaé,3148202,Patrocínio do Muriaé,149,141,0.9463087248322147,22,4,0.18181818181818182,39500
Muriaé,3148301,Paula Cândido,292,292,1,141,27,0.19148936170212766,73000
Governador Valadares,3148400,Paulistas,234,184,0.7863247863247863,47,15,0.3191489361702128,51000
Teófilo Otoni,3148509,Pavão,692,633,0.9147398843930635,17,12,0.7058823529411765,186250
Governador Valadares,3148608,Peçanha,849,755,0.889281507656066,131,55,0.4198473282442748,217000
Almenara,3148707,Pedra Azul,1257,1160,0.9228321400159109,108,20,0.18518518518518517,320000
Muriaé,3148756,Pedra Bonita,384,256,0.6666666666666666,29,16,0.5517241379310345,75400
Muriaé,3148806,Pedra do Anta,143,143,1,11,2,0.18181818181818182,35400
